Order Date,Product Name,Category,Region,Quantity,Sales,Cost,Profit
8/14/2022,Mouse,Accessories,North,9,3384,3131.89,252.11
1/1/2022,Monitor,Accessories,South,8,1296,1022.03,273.97
7/25/2024,Tablet,Electronics,West,8,2840,2577.38,262.62
8/22/2024,Camera,Electronics,East,7,1540,1197.07,342.93
6/28/2022,Camera,Electronics,West,2,1414,1105.61,308.39
4/26/2023,Camera,Electronics,West,8,8328,7861.62,466.38
8/29/2023,Camera,Electronics,North,2,744,526.79,217.21
1/2/2023,Mouse,Accessories,South,9,1773,1604.99,168.01
8/11/2023,Smartphone,Electronics,East,7,6034,5015.63,1018.37
6/22/2023,Smartphone,Electronics,South,9,756,656.79,99.21
7/27/2024,Monitor,Accessories,East,8,2256,1787.48,468.52
11/30/2023,Monitor,Accessories,North,7,875,671.37,203.63
11/26/2024,Headphones,Accessories,South,4,1208,1092.87,115.13
8/15/2023,Headphones,Accessories,South,2,352,297.81,54.19
2/23/2023,Printer,Office,West,6,4266,3908.49,357.51
3/26/2022,Tablet,Electronics,North,7,1841,1344.11,496.89
7/27/2024,Camera,Electronics,East,1,712,622.5,89.5
3/23/2024,Printer,Office,West,2,724,651.81,72.19
12/9/2024,Smartphone,Electronics,West,8,5832,5169.28,662.72
6/17/2023,Keyboard,Accessories,South,6,4188,3198.86,989.14
9/21/2023,Tablet,Electronics,West,1,392,341.3,50.7
5/14/2022,Laptop,Electronics,East,9,963,913.29,49.71
4/13/2024,Camera,Electronics,West,6,5706,5386.54,319.46
6/11/2024,Headphones,Accessories,West,7,1365,1052.96,312.04
5/23/2023,Headphones,Accessories,South,1,202,190.76,11.24
12/24/2023,Smartphone,Electronics,North,9,2430,1816.33,613.67
4/26/2023,Monitor,Accessories,South,3,2670,2154.61,515.39
1/21/2022,Tablet,Electronics,South,7,2758,2237.34,520.66
10/14/2022,Monitor,Accessories,South,9,873,790.65,82.35
8/23/2023,Smartwatch,Electronics,West,9,7245,5834.08,1410.92
9/13/2023,Camera,Electronics,North,4,960,704.76,255.24
12/28/2024,Smartwatch,Electronics,East,4,1284,1112.98,171.02
6/9/2023,Mouse,Accessories,West,4,512,401.53,110.47
7/10/2022,Smartwatch,Electronics,South,9,9729,7689.59,2039.41
1/11/2023,Camera,Electronics,North,5,1580,1413.84,166.16
7/26/2023,Mouse,Accessories,East,8,976,741.76,234.24
1/5/2024,Printer,Office,North,8,1824,1328.65,495.35
5/8/2023,Smartphone,Electronics,South,4,3188,2985.19,202.81
11/29/2023,Camera,Electronics,East,7,5467,4910.98,556.02
9/5/2024,Smartphone,Electronics,South,6,5406,4128.54,1277.46
8/8/2024,Headphones,Accessories,East,8,2984,2241.69,742.31
4/12/2023,Printer,Office,North,1,919,725.65,193.35
8/18/2023,Camera,Electronics,South,6,1686,1259.28,426.72
6/2/2023,Laptop,Electronics,West,7,4165,3671.76,493.24
11/17/2023,Smartphone,Electronics,West,7,1281,998.37,282.63
6/17/2024,Smartwatch,Electronics,East,3,2829,2466.84,362.16
4/6/2024,Monitor,Accessories,West,3,2211,1918.69,292.31
12/18/2024,Headphones,Accessories,East,4,4740,4132.19,607.81
12/9/2023,Camera,Electronics,East,1,718,548.91,169.09
10/10/2022,Headphones,Accessories,North,6,1716,1607.19,108.81
4/22/2024,Monitor,Accessories,South,7,1547,1394.41,152.59
6/14/2022,Mouse,Accessories,North,1,739,627.82,111.18
9/3/2023,Laptop,Electronics,West,3,819,587.12,231.88
12/19/2023,Laptop,Electronics,South,8,5696,4539.7,1156.3
1/22/2023,Monitor,Accessories,South,2,1706,1521.29,184.71
1/23/2024,Camera,Electronics,North,2,2066,1457.77,608.23
6/7/2024,Laptop,Electronics,North,2,256,220.34,35.66
2/4/2024,Smartphone,Electronics,North,2,1102,919.46,182.54
8/31/2024,Monitor,Accessories,North,8,2872,2388.06,483.94
11/11/2024,Tablet,Electronics,East,4,2584,2189.48,394.52
7/27/2024,Mouse,Accessories,North,2,1366,1067.68,298.32
5/11/2024,Smartwatch,Electronics,South,7,1253,898.77,354.23
3/24/2023,Laptop,Electronics,West,7,2618,2317.19,300.81
9/22/2022,Headphones,Accessories,East,9,6822,5010.63,1811.37
11/5/2023,Keyboard,Accessories,East,6,5286,4649.84,636.16
6/13/2024,Monitor,Accessories,North,1,579,445.43,133.57
2/28/2022,Laptop,Electronics,West,8,1392,1201.01,190.99
11/14/2022,Laptop,Electronics,West,9,2493,1796.31,696.69
9/17/2023,Smartphone,Electronics,North,7,6461,5694.55,766.45
8/17/2022,Tablet,Electronics,East,2,1486,1284.93,201.07
5/14/2023,Printer,Office,South,1,1152,871.72,280.28
3/12/2022,Smartwatch,Electronics,West,2,1750,1646.01,103.99
7/12/2022,Smartphone,Electronics,West,7,4417,3921.63,495.37
7/5/2024,Laptop,Electronics,South,4,3724,3447.15,276.85
6/16/2023,Camera,Electronics,West,3,2220,2098.86,121.14
6/20/2023,Monitor,Accessories,West,8,9104,6483.42,2620.58
8/8/2024,Printer,Office,West,3,3093,2508.77,584.23
3/1/2023,Headphones,Accessories,South,6,3048,2205.76,842.24
5/2/2022,Smartphone,Electronics,North,1,161,124.42,36.58
7/23/2023,Monitor,Accessories,West,7,7238,5348.31,1889.69
3/30/2024,Smartphone,Electronics,North,3,3561,3213.69,347.31
8/7/2022,Monitor,Accessories,North,5,1850,1315.61,534.39
3/6/2022,Mouse,Accessories,West,6,3522,2895.28,626.72
11/24/2023,Smartwatch,Electronics,East,1,584,411.6,172.4
8/31/2023,Smartphone,Electronics,East,4,2556,2143.56,412.44
10/14/2023,Smartphone,Electronics,South,2,348,291.69,56.31
5/16/2023,Monitor,Accessories,South,9,1602,1459.51,142.49
6/19/2023,Monitor,Accessories,South,3,2853,2415.41,437.59
7/21/2023,Printer,Office,West,1,1024,793.7,230.3
3/20/2022,Camera,Electronics,East,5,4485,3160.51,1324.49
8/6/2023,Printer,Office,East,2,436,356.31,79.69
10/21/2024,Smartwatch,Electronics,North,2,2232,2081.88,150.12
8/14/2022,Keyboard,Accessories,South,6,7056,5610.99,1445.01
3/15/2022,Keyboard,Accessories,East,5,875,778.35,96.65
2/1/2022,Smartwatch,Electronics,East,3,315,253.06,61.94
4/24/2022,Laptop,Electronics,East,2,358,306.25,51.75
3/23/2023,Camera,Electronics,South,7,3451,3256.58,194.42
2/10/2022,Laptop,Electronics,North,9,1350,1160.87,189.13
10/19/2023,Tablet,Electronics,West,8,3320,2906.68,413.32
9/10/2024,Mouse,Accessories,North,9,8442,7501.67,940.33
6/17/2022,Keyboard,Accessories,South,1,166,134.03,31.97
8/9/2023,Mouse,Accessories,North,5,3720,3271.4,448.6
7/11/2023,Laptop,Electronics,South,2,1090,953.35,136.65
1/5/2024,Laptop,Electronics,West,9,9783,7435.51,2347.49
9/22/2022,Smartphone,Electronics,North,4,2432,1774.82,657.18
6/22/2023,Mouse,Accessories,North,7,4060,3768.58,291.42
3/26/2023,Smartwatch,Electronics,North,1,387,287.41,99.59
8/11/2023,Smartwatch,Electronics,North,3,966,845.44,120.56
5/17/2024,Tablet,Electronics,North,3,3366,2483.71,882.29
6/30/2024,Monitor,Accessories,West,7,7833,5989.06,1843.94
4/9/2023,Monitor,Accessories,West,1,610,576.45,33.55
5/28/2022,Smartwatch,Electronics,West,8,4288,3690.91,597.09
7/18/2022,Printer,Office,North,9,7740,7134.65,605.35
8/20/2024,Smartwatch,Electronics,West,9,3150,2692.87,457.13
12/31/2023,Keyboard,Accessories,West,2,894,669.25,224.75
10/9/2022,Laptop,Electronics,North,8,7544,6324.27,1219.73
3/1/2024,Keyboard,Accessories,North,8,6360,4488.12,1871.88
3/19/2022,Smartphone,Electronics,West,4,2428,1942.25,485.75
10/5/2022,Headphones,Accessories,South,2,574,535.48,38.52
4/25/2023,Keyboard,Accessories,West,6,6744,6083.53,660.47
9/11/2023,Headphones,Accessories,North,6,798,584.6,213.4
1/13/2023,Printer,Office,North,5,2860,2521,339
4/3/2022,Printer,Office,South,5,5410,4280.23,1129.77
2/26/2023,Laptop,Electronics,West,5,4445,3864.85,580.15
11/3/2024,Smartwatch,Electronics,South,8,7536,6338.91,1197.09
9/26/2023,Monitor,Accessories,North,7,4165,3901.74,263.26
2/19/2024,Laptop,Electronics,East,3,3021,2257.01,763.99
4/29/2024,Keyboard,Accessories,North,2,310,239.34,70.66
5/15/2024,Headphones,Accessories,South,2,2170,1648,522
10/22/2024,Tablet,Electronics,West,3,2832,2514.24,317.76
7/31/2022,Smartwatch,Electronics,West,5,3945,3552.91,392.09
9/10/2022,Tablet,Electronics,South,4,2104,1796,308
8/24/2022,Monitor,Accessories,South,2,2060,1542.36,517.64
6/23/2024,Printer,Office,North,4,1060,904.22,155.78
1/13/2023,Smartwatch,Electronics,South,6,810,701.39,108.61
9/23/2022,Laptop,Electronics,West,3,873,815.58,57.42
2/8/2022,Tablet,Electronics,West,5,595,473.89,121.11
12/18/2022,Laptop,Electronics,West,2,1562,1442.44,119.56
1/25/2022,Smartwatch,Electronics,East,9,5337,3761.01,1575.99
12/9/2022,Printer,Office,North,2,212,198.6,13.4
6/14/2023,Printer,Office,East,8,2704,1998.26,705.74
5/31/2024,Laptop,Electronics,North,5,3225,2701.68,523.32
8/7/2023,Monitor,Accessories,North,2,1342,1157.41,184.59
7/13/2022,Mouse,Accessories,South,7,3395,2382.22,1012.78
12/1/2024,Smartwatch,Electronics,East,4,3968,3487.28,480.72
4/12/2024,Smartphone,Electronics,West,5,4555,3778.35,776.65
2/26/2022,Tablet,Electronics,West,2,2132,1766.56,365.44
3/31/2022,Mouse,Accessories,West,6,6516,5673.17,842.83
8/17/2023,Smartwatch,Electronics,North,2,2040,1558.85,481.15
9/23/2024,Mouse,Accessories,East,6,6126,5697.62,428.38
9/11/2022,Smartwatch,Electronics,West,8,520,489.42,30.58
1/1/2023,Camera,Electronics,South,5,4470,3943.04,526.96
7/12/2024,Smartwatch,Electronics,West,8,5504,4307.22,1196.78
1/11/2022,Headphones,Accessories,West,4,3036,2524.31,511.69
10/5/2024,Smartwatch,Electronics,East,5,2725,2416.71,308.29
9/16/2024,Printer,Office,North,8,4080,3743.04,336.96
5/23/2024,Keyboard,Accessories,North,8,3080,2303.4,776.6
6/8/2023,Smartwatch,Electronics,North,5,1525,1111.25,413.75
7/16/2022,Monitor,Accessories,South,4,1332,989.15,342.85
7/24/2023,Smartphone,Electronics,South,7,4669,3865.79,803.21
3/12/2022,Smartwatch,Electronics,West,6,5310,4210.16,1099.84
1/12/2023,Camera,Electronics,East,8,9392,6740.16,2651.84
11/3/2022,Monitor,Accessories,South,5,1350,1151.81,198.19
3/14/2024,Monitor,Accessories,North,4,3648,2879.39,768.61
7/27/2023,Printer,Office,North,2,300,252.41,47.59
8/14/2022,Smartphone,Electronics,North,3,3408,2680.74,727.26
11/17/2024,Keyboard,Accessories,South,9,4302,3826.04,475.96
5/13/2024,Keyboard,Accessories,South,5,4575,3803.76,771.24
10/21/2022,Laptop,Electronics,East,8,9304,7448.3,1855.7
4/15/2024,Monitor,Accessories,East,4,1928,1695.52,232.48
1/17/2023,Printer,Office,East,2,1042,955.76,86.24
11/28/2023,Tablet,Electronics,East,3,2214,1706.3,507.7
5/3/2024,Keyboard,Accessories,South,4,3024,2345.74,678.26
8/11/2023,Camera,Electronics,East,2,1104,930.99,173.01
7/26/2022,Mouse,Accessories,East,8,6056,4424.29,1631.71
2/7/2023,Mouse,Accessories,South,5,5295,3919.02,1375.98
1/19/2022,Smartphone,Electronics,North,4,3668,2828.6,839.4
6/30/2023,Printer,Office,South,9,4293,3997.53,295.47
8/19/2022,Mouse,Accessories,North,7,5789,4838.55,950.45
8/27/2023,Smartwatch,Electronics,North,6,4440,3639.08,800.92
3/10/2022,Printer,Office,South,5,5515,5184.98,330.02
10/12/2024,Camera,Electronics,North,4,784,591.23,192.77
6/15/2024,Laptop,Electronics,East,4,576,419.41,156.59
9/9/2024,Smartwatch,Electronics,West,5,705,506.38,198.62
9/24/2023,Keyboard,Accessories,North,6,4458,3242.7,1215.3
8/25/2022,Smartphone,Electronics,East,6,6780,5968.08,811.92
10/1/2023,Smartwatch,Electronics,North,5,3970,3327.3,642.7
1/8/2023,Monitor,Accessories,North,7,5131,4762.89,368.11
10/2/2022,Laptop,Electronics,East,7,1750,1659.79,90.21
2/11/2022,Tablet,Electronics,East,7,8337,7583.65,753.35
9/15/2022,Keyboard,Accessories,East,9,9810,9260.54,549.46
1/28/2024,Keyboard,Accessories,East,3,2658,1863.64,794.36
7/23/2022,Printer,Office,West,1,473,429.35,43.65
1/14/2022,Tablet,Electronics,North,9,2205,1794.99,410.01
6/13/2023,Smartphone,Electronics,South,9,6948,5538.7,1409.3
9/9/2022,Tablet,Electronics,North,3,774,561.98,212.02
12/26/2023,Tablet,Electronics,North,3,2532,2188.87,343.13
11/16/2024,Laptop,Electronics,West,7,6587,5413.09,1173.91
4/1/2024,Smartphone,Electronics,East,7,7266,6459.21,806.79
11/27/2024,Smartphone,Electronics,East,7,6867,6364.94,502.06
7/1/2023,Camera,Electronics,South,9,4887,4490.64,396.36
2/13/2023,Mouse,Accessories,West,4,864,612.01,251.99
11/9/2023,Smartphone,Electronics,East,6,5190,3974.93,1215.07
5/20/2022,Keyboard,Accessories,South,8,2128,1833.55,294.45
6/26/2024,Mouse,Accessories,East,2,1718,1499.18,218.82
5/2/2022,Smartphone,Electronics,North,2,1270,1040.61,229.39
5/18/2023,Keyboard,Accessories,East,7,2569,2438.81,130.19
2/14/2022,Printer,Office,South,2,1518,1255.35,262.65
11/22/2022,Headphones,Accessories,South,2,1210,941.63,268.37
3/15/2022,Mouse,Accessories,East,2,1128,1033.87,94.13
8/23/2023,Headphones,Accessories,North,1,1077,999.03,77.97
12/18/2023,Keyboard,Accessories,East,6,2244,1726.53,517.47
9/16/2022,Mouse,Accessories,West,8,1608,1143.82,464.18
12/15/2024,Camera,Electronics,West,5,3685,3208.8,476.2
4/25/2024,Camera,Electronics,North,8,4080,3000.51,1079.49
2/9/2024,Monitor,Accessories,North,1,404,319.6,84.4
4/19/2023,Keyboard,Accessories,South,2,1738,1574.62,163.38
1/31/2023,Printer,Office,West,3,828,617.67,210.33
11/24/2023,Mouse,Accessories,North,4,4344,3882.28,461.72
10/2/2023,Tablet,Electronics,North,1,1130,861.12,268.88
4/18/2024,Headphones,Accessories,North,3,1698,1393.09,304.91
6/27/2023,Tablet,Electronics,East,4,844,707.98,136.02
2/20/2023,Printer,Office,West,2,2286,2067.82,218.18
12/12/2023,Camera,Electronics,East,2,1026,855.69,170.31
10/4/2023,Laptop,Electronics,West,6,6984,5550.35,1433.65
2/18/2022,Monitor,Accessories,West,4,1672,1239.65,432.35
1/8/2023,Laptop,Electronics,North,6,1092,1028.02,63.98
4/1/2024,Headphones,Accessories,South,2,272,247.29,24.71
11/12/2023,Headphones,Accessories,West,2,1126,921.01,204.99
10/22/2023,Mouse,Accessories,West,7,8155,5977.62,2177.38
3/29/2023,Smartwatch,Electronics,East,7,4298,3939.62,358.38
12/17/2022,Smartphone,Electronics,East,5,1365,1054.34,310.66
11/28/2024,Camera,Electronics,West,6,4116,3734.65,381.35
4/7/2022,Headphones,Accessories,South,8,904,722.55,181.45
12/5/2024,Smartwatch,Electronics,South,1,70,59.36,10.64
9/3/2023,Keyboard,Accessories,East,2,344,271.13,72.87
8/19/2023,Printer,Office,East,1,330,251.48,78.52
8/17/2024,Headphones,Accessories,South,2,518,483.78,34.22
8/18/2022,Mouse,Accessories,North,9,2763,2304.6,458.4
3/26/2022,Smartwatch,Electronics,North,2,2298,1954.47,343.53
10/2/2024,Monitor,Accessories,South,1,436,362.11,73.89
9/28/2022,Mouse,Accessories,East,6,1824,1610.53,213.47
5/12/2024,Laptop,Electronics,North,5,1540,1128.17,411.83
3/14/2023,Tablet,Electronics,East,7,5572,5186.18,385.82
9/21/2023,Monitor,Accessories,East,6,3030,2694.29,335.71
5/2/2024,Monitor,Accessories,West,5,1245,899.16,345.84
1/31/2022,Tablet,Electronics,South,4,1252,925.31,326.69
6/4/2024,Camera,Electronics,North,9,4959,4479.72,479.28
2/16/2023,Monitor,Accessories,West,7,8162,7718.19,443.81
5/26/2023,Monitor,Accessories,East,5,1370,1116.08,253.92
12/28/2023,Tablet,Electronics,North,3,3111,2503.77,607.23
10/10/2022,Mouse,Accessories,South,7,7805,6726.97,1078.03
4/21/2024,Smartphone,Electronics,South,9,10314,7584.4,2729.6
9/29/2023,Keyboard,Accessories,South,9,10782,8051.86,2730.14
10/22/2024,Monitor,Accessories,West,5,4375,3387.04,987.96
7/31/2023,Monitor,Accessories,North,5,2265,1669.95,595.05
4/15/2022,Laptop,Electronics,East,1,166,156.31,9.69
4/24/2024,Headphones,Accessories,North,7,7217,5735.3,1481.7
1/16/2022,Tablet,Electronics,East,3,1767,1580.46,186.54
12/6/2023,Laptop,Electronics,East,3,2883,2325.19,557.81
9/4/2024,Smartwatch,Electronics,South,3,1338,941.92,396.08
8/24/2024,Printer,Office,East,9,9459,8854.94,604.06
6/10/2022,Printer,Office,North,3,168,122.69,45.31
10/3/2022,Smartphone,Electronics,South,9,4536,4056.22,479.78
2/25/2022,Mouse,Accessories,East,4,4404,3610.3,793.7
8/18/2023,Monitor,Accessories,North,4,1952,1803.33,148.67
12/23/2022,Mouse,Accessories,North,3,2004,1536.24,467.76
6/30/2022,Keyboard,Accessories,South,4,468,336.52,131.48
11/10/2024,Smartphone,Electronics,West,9,8667,7069.51,1597.49
2/24/2024,Printer,Office,West,7,6097,5529.68,567.32
4/11/2022,Headphones,Accessories,South,9,4752,3336.35,1415.65
5/10/2023,Keyboard,Accessories,East,1,1172,1047.1,124.9
5/20/2022,Keyboard,Accessories,North,2,1608,1437.71,170.29
5/21/2023,Printer,Office,South,7,7595,6625.93,969.07
7/17/2024,Smartwatch,Electronics,West,1,1142,835.16,306.84
11/18/2024,Keyboard,Accessories,North,2,116,102.33,13.67
6/6/2022,Smartphone,Electronics,East,9,3951,3042.87,908.13
12/21/2023,Keyboard,Accessories,East,2,1606,1467.04,138.96
11/16/2022,Headphones,Accessories,South,3,2025,1622,403
7/24/2023,Smartwatch,Electronics,West,2,2006,1770.48,235.52
6/5/2024,Camera,Electronics,South,9,9423,8770.94,652.06
8/24/2022,Laptop,Electronics,North,4,2276,1876.06,399.94
8/22/2022,Monitor,Accessories,West,5,4880,4215.94,664.06
11/18/2024,Laptop,Electronics,East,3,1773,1589.85,183.15
1/21/2023,Smartwatch,Electronics,South,9,2718,2522.03,195.97
11/7/2022,Headphones,Accessories,East,4,3168,2228.55,939.45
1/31/2022,Camera,Electronics,West,2,1716,1347.94,368.06
2/7/2024,Smartphone,Electronics,West,2,214,199.92,14.08
6/4/2024,Camera,Electronics,East,2,2092,1725.88,366.12
3/21/2024,Headphones,Accessories,West,3,225,178.04,46.96
3/26/2023,Smartwatch,Electronics,East,1,859,641.33,217.67
4/10/2022,Printer,Office,West,2,2070,1886.59,183.41
6/10/2024,Keyboard,Accessories,South,6,3240,2481.81,758.19
10/8/2022,Tablet,Electronics,East,2,1748,1241.48,506.52
7/6/2023,Mouse,Accessories,West,8,2080,1971.52,108.48
6/18/2022,Smartwatch,Electronics,North,3,2193,1671.86,521.14
6/8/2023,Headphones,Accessories,West,5,2080,1465.23,614.77
5/13/2022,Mouse,Accessories,South,5,5070,4083.61,986.39
3/8/2024,Laptop,Electronics,South,7,469,421.6,47.4
10/8/2023,Printer,Office,South,1,802,648.45,153.55
12/31/2024,Smartphone,Electronics,West,6,930,716.4,213.6
3/11/2022,Smartwatch,Electronics,South,1,495,439.83,55.17
8/1/2024,Monitor,Accessories,East,6,4938,4090.11,847.89
8/21/2022,Tablet,Electronics,South,2,1300,1032.54,267.46
12/11/2024,Mouse,Accessories,South,7,2100,1968.33,131.67
3/13/2024,Camera,Electronics,South,2,2248,1611.48,636.52
12/5/2023,Headphones,Accessories,North,8,7096,6104.77,991.23
5/13/2022,Headphones,Accessories,East,3,1992,1739.79,252.21
1/29/2022,Camera,Electronics,South,4,4056,2866.74,1189.26
12/22/2022,Camera,Electronics,East,2,1986,1777.12,208.88
4/7/2024,Printer,Office,East,3,1635,1438.27,196.73
3/5/2022,Smartwatch,Electronics,East,9,3132,2688.73,443.27
5/21/2023,Smartphone,Electronics,South,8,7064,5509.48,1554.52
3/16/2024,Camera,Electronics,East,1,907,657.8,249.2
1/14/2023,Mouse,Accessories,South,9,7938,6746.59,1191.41
11/11/2023,Printer,Office,South,4,4360,3152.54,1207.46
8/19/2024,Keyboard,Accessories,West,3,375,279.96,95.04
9/24/2022,Monitor,Accessories,North,7,826,724.99,101.01
11/4/2023,Headphones,Accessories,East,1,1011,824.58,186.42
9/9/2023,Mouse,Accessories,East,3,807,658.42,148.58
12/17/2024,Headphones,Accessories,North,2,1840,1472.3,367.7
2/7/2022,Keyboard,Accessories,West,5,4550,3510.66,1039.34
1/7/2024,Smartphone,Electronics,North,9,8793,7891.3,901.7
7/9/2024,Headphones,Accessories,North,5,310,277.99,32.01
11/28/2023,Headphones,Accessories,East,3,1143,867.96,275.04
3/10/2022,Monitor,Accessories,West,3,2610,1869.79,740.21
7/31/2022,Tablet,Electronics,West,6,1494,1224.75,269.25
7/5/2023,Smartphone,Electronics,North,4,1524,1334.68,189.32
11/21/2023,Tablet,Electronics,North,9,9441,7269.58,2171.42
6/18/2022,Smartphone,Electronics,South,4,3520,3102.74,417.26
3/29/2023,Tablet,Electronics,West,2,390,286.01,103.99
1/27/2024,Printer,Office,South,3,3219,2963.91,255.09
9/29/2024,Laptop,Electronics,North,1,450,374.11,75.89
8/12/2023,Smartwatch,Electronics,South,4,828,611.02,216.98
1/17/2022,Printer,Office,East,1,1146,993.21,152.79
7/9/2024,Monitor,Accessories,West,3,1986,1624.67,361.33
3/21/2023,Smartwatch,Electronics,North,8,7264,5487.17,1776.83
6/8/2023,Laptop,Electronics,East,7,7469,6553.37,915.63
3/19/2024,Laptop,Electronics,South,5,1385,1219.45,165.55
3/13/2023,Tablet,Electronics,North,4,4556,4240.93,315.07
2/8/2024,Monitor,Accessories,North,3,456,394.58,61.42
11/15/2024,Monitor,Accessories,North,2,1984,1858.87,125.13
9/17/2024,Smartwatch,Electronics,North,6,5178,3856.42,1321.58
5/11/2023,Smartwatch,Electronics,West,1,281,250.49,30.51
11/26/2024,Monitor,Accessories,South,9,3033,2855.08,177.92
3/27/2022,Camera,Electronics,East,3,1107,1041.12,65.88
4/10/2022,Mouse,Accessories,South,3,1446,1089.3,356.7
7/27/2024,Printer,Office,North,3,1335,1071.96,263.04
1/23/2023,Mouse,Accessories,South,2,266,245.89,20.11
4/22/2024,Smartphone,Electronics,West,6,648,485.7,162.3
3/15/2023,Tablet,Electronics,South,2,344,263.13,80.87
5/25/2024,Smartphone,Electronics,West,6,5724,4083.81,1640.19
3/16/2022,Headphones,Accessories,East,5,4920,4596.62,323.38
1/7/2023,Camera,Electronics,West,5,5440,4982.96,457.04
4/25/2024,Smartphone,Electronics,West,7,7994,7085.35,908.65
10/23/2023,Camera,Electronics,South,9,3780,3055.64,724.36
5/27/2023,Smartphone,Electronics,North,1,1017,807.03,209.97
1/31/2023,Smartphone,Electronics,West,6,1578,1495.15,82.85
10/9/2023,Smartphone,Electronics,South,2,912,750.63,161.37
4/29/2024,Laptop,Electronics,West,6,2520,2337.41,182.59
12/6/2024,Mouse,Accessories,East,8,2632,2369.45,262.55
7/10/2023,Monitor,Accessories,West,6,6582,5852.32,729.68
1/16/2024,Camera,Electronics,East,8,3432,3259.31,172.69
9/10/2023,Keyboard,Accessories,South,2,1030,775.35,254.65
10/13/2022,Mouse,Accessories,West,8,1192,902.09,289.91
7/24/2024,Printer,Office,West,9,7083,6088.53,994.47
2/22/2022,Printer,Office,South,7,3675,3447.86,227.14
10/30/2023,Monitor,Accessories,North,4,4740,3906.73,833.27
4/14/2024,Headphones,Accessories,East,4,1716,1351.04,364.96
2/7/2023,Printer,Office,South,7,3528,3267.94,260.06
6/22/2022,Camera,Electronics,South,3,777,705.28,71.72
4/29/2022,Camera,Electronics,East,4,3368,2809.07,558.93
10/11/2022,Tablet,Electronics,North,4,4240,3988.54,251.46
4/15/2022,Laptop,Electronics,South,3,3285,2992.13,292.87
1/14/2023,Smartphone,Electronics,South,6,4872,4259.27,612.73
8/24/2022,Smartphone,Electronics,East,9,2466,1827.59,638.41
10/26/2024,Tablet,Electronics,West,5,2465,1967.81,497.19
5/15/2023,Tablet,Electronics,North,3,612,571.85,40.15
10/25/2022,Tablet,Electronics,South,5,4170,3511.02,658.98
3/13/2023,Camera,Electronics,South,8,1088,927.67,160.33
7/30/2024,Keyboard,Accessories,West,2,1626,1271.51,354.49
11/6/2023,Smartphone,Electronics,North,6,6486,6126.51,359.49
12/14/2022,Monitor,Accessories,West,8,6968,5741.78,1226.22
1/3/2024,Smartphone,Electronics,North,1,357,274.14,82.86
2/17/2024,Laptop,Electronics,South,1,454,395.6,58.4
4/4/2024,Tablet,Electronics,East,3,3582,3080.53,501.47
6/25/2024,Tablet,Electronics,West,9,3762,3277.25,484.75
10/31/2024,Smartwatch,Electronics,South,9,6642,6247.52,394.48
9/25/2024,Monitor,Accessories,West,4,408,362.8,45.2
3/8/2024,Tablet,Electronics,West,1,105,79.74,25.26
5/4/2024,Tablet,Electronics,West,3,2682,2097.31,584.69
7/11/2022,Keyboard,Accessories,East,7,497,420.69,76.31
8/19/2022,Printer,Office,South,7,4823,4402.42,420.58
10/1/2024,Smartwatch,Electronics,North,8,4048,3381.9,666.1
10/19/2023,Printer,Office,South,7,2758,2298.98,459.02
12/23/2022,Smartphone,Electronics,North,8,4096,3829.65,266.35
10/11/2024,Printer,Office,North,8,7264,5946,1318
4/9/2022,Mouse,Accessories,East,6,4302,3344.62,957.38
3/3/2022,Printer,Office,North,7,3297,2713.14,583.86
1/27/2023,Printer,Office,North,5,5960,4820.22,1139.78
1/22/2024,Keyboard,Accessories,West,1,386,271.1,114.9
1/20/2022,Printer,Office,West,1,684,513.64,170.36
6/15/2022,Laptop,Electronics,South,3,1275,1106.36,168.64
5/18/2023,Mouse,Accessories,North,9,5949,5580.49,368.51
2/6/2023,Camera,Electronics,East,7,5159,4403.78,755.22
7/1/2022,Monitor,Accessories,North,4,1100,972.87,127.13
1/26/2024,Mouse,Accessories,South,2,290,239.77,50.23
8/5/2023,Smartwatch,Electronics,East,8,7144,6651.9,492.1
8/9/2022,Keyboard,Accessories,West,5,4200,3869.52,330.48
2/8/2022,Monitor,Accessories,North,6,5022,4730.11,291.89
12/13/2024,Smartphone,Electronics,West,2,2354,1982.66,371.34
10/10/2024,Smartphone,Electronics,South,2,2032,1882.3,149.7
10/15/2024,Printer,Office,South,8,9528,7585.65,1942.35
5/25/2024,Keyboard,Accessories,South,2,2372,2096.12,275.88
2/14/2022,Laptop,Electronics,West,3,2703,2093.25,609.75
5/4/2023,Laptop,Electronics,South,4,1264,996.18,267.82
5/21/2024,Smartphone,Electronics,South,4,1624,1290.26,333.74
5/14/2023,Mouse,Accessories,West,8,2976,2468.23,507.77
7/2/2024,Headphones,Accessories,West,6,4998,4134.18,863.82
4/18/2024,Printer,Office,South,1,445,415.43,29.57
10/20/2022,Printer,Office,West,1,98,69.43,28.57
8/22/2022,Tablet,Electronics,North,7,4102,3747.97,354.03
1/11/2022,Printer,Office,North,1,1016,844.69,171.31
8/18/2023,Headphones,Accessories,South,4,1960,1725.12,234.88
9/15/2024,Mouse,Accessories,West,7,2751,2075.05,675.95
7/15/2022,Smartphone,Electronics,East,7,4032,3289.02,742.98
7/28/2024,Smartphone,Electronics,West,7,5978,4186.75,1791.25
12/16/2023,Headphones,Accessories,West,7,8050,5920.03,2129.97
